"Name","RA","DEC","MagFilter","MagBrightest","MagFaintest","QSOorigin","Method","PossibleType","CandidateStatus","Notes"
"GRALJ013933.35+352611.37","24.88897","35.43649","Gaia G","19.6","19.7",,"ZTFEnsemble","Double","1","Perfectly still DR2 astrometry (plx + pm). Color difference only 0.25+/-0.15 mag. Separation 2.3""."
"GRALJ013933.35+352611.37","24.88897","35.43649","Gaia G","19.6","19.7",,"ZTFEnsemble","Double","1","Perfectly still DR2 astrometry (plx + pm). Color difference only 0.25+/-0.15 mag. Separation 2.3""."
"GRALJ013933.35+352611.37","24.88897","35.43649","Gaia G","19.6","19.7",,"ZTFEnsemble","Double","1","Perfectly still DR2 astrometry (plx + pm). Color difference only 0.25+/-0.15 mag. Separation 2.3""."
