"Name","RA","DEC","MagFilter","MagBrightest","MagFaintest","QSOorigin","Method","PossibleType","CandidateStatus","Notes"
"GRALJ013933.35+352611.37","24.88897","35.43649","Gaia G","19.6","19.7",,"ZTFEnsemble","Double","1","Perfectly still DR2 astrometry (plx + pm). Color difference only 0.25+/-0.15 mag. Separation 2.3""."
"GRALJ013933.35+352611.37","24.88897","35.43649","Gaia G","19.6","19.7",,"ZTFEnsemble","Double","1","Perfectly still DR2 astrometry (plx + pm). Color difference only 0.25+/-0.15 mag. Separation 2.3""."
"GRALJ013933.35+352611.37","24.88897","35.43649","Gaia G","19.6","19.7",,"ZTFEnsemble","Double","1","Perfectly still DR2 astrometry (plx + pm). Color difference only 0.25+/-0.15 mag. Separation 2.3""."
"GRALJ013933.35+352611.37","24.88897","35.43649","Gaia G","19.6","19.7",,"ZTFEnsemble","Double","1","Perfectly still DR2 astrometry (plx + pm). Color difference only 0.25+/-0.15 mag. Separation 2.3""."
"GRALJ013933.35+352611.37","24.88897","35.43649","Gaia G","19.6","19.7",,"ZTFEnsemble","Double","1","Perfectly still DR2 astrometry (plx + pm). Color difference only 0.25+/-0.15 mag. Separation 2.3""."
"GRALJ013933.35+352611.37","24.88897","35.43649","Gaia G","19.6","19.7",,"ZTFEnsemble","Double","1","Perfectly still DR2 astrometry (plx + pm). Color difference only 0.25+/-0.15 mag. Separation 2.3""."
"GRALJ014049.02+410800.34","25.20427","41.13343","Gaia G","17.6","18.5",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.7 sigma due to plx, but no proper motion (compatible with zero under ~1sigma). No color information. Separation 1.5""."
"GRALJ014049.02+410800.34","25.20427","41.13343","Gaia G","17.6","18.5",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.7 sigma due to plx, but no proper motion (compatible with zero under ~1sigma). No color information. Separation 1.5""."
"GRALJ014049.02+410800.34","25.20427","41.13343","Gaia G","17.6","18.5",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.7 sigma due to plx, but no proper motion (compatible with zero under ~1sigma). No color information. Separation 1.5""."
"GRALJ014049.02+410800.34","25.20427","41.13343","Gaia G","17.6","18.5",,"ZTFEnsemble","Double","1","DR2 astrometry (plx+pm) compatible with zero within 1.7 sigma due to plx, but no proper motion (compatible with zero under ~1sigma). No color information. Separation 1.5""."
